#Includes tiepoints from Svensson Links Unpub 2025
depth1	depth2	age_unc	comment
1517.287	1575.712	5.0	
1539.05	1597.2	5.0	
1585.05	1640.88	5.0	
1598.9	1653.88	5.0	
1609.47	1663.79	5.0	
1615.62	1669.73	5.0	
1624.449	1678.25	5.0	
1639.53	1692.25	5.0	
1641.68	1694.24	5.0	
1657.52	1708.64	5.0	
1663.325	1713.915	5.0	
1665.4	1715.71	5.0	
1666.99	1717.28	5.0	
1668.483	1718.666	5.0	
1676.25	1725.74	5.0	
1696.15	1744.25	5.0	
1706.57	1753.92	5.0	
1742.28	1787.32	5.0	
1753.75	1798.17	5.0	
1755.46	1799.765	5.0	
1761.44	1805.39	5.0	
1769.48	1812.8	5.0	
1775.82	1818.88	5.0	
1778.339	1821.266	5.0	
1778.62	1821.52	5.0	
1793.372	1835.425	5.0	
1796.72	1838.6	5.0	
1874.755	1915.734	5.0	
1882.23	1922.77	5.0	
1926.337	1963.65	5.0	
1973.03	2006.76	5.0	
1997.82	2030.73	5.0	
2001.127	2033.89	5.0	
2018.919	2050.57	5.0	
2025.84	2057.05	5.0	
2028.25	2059.5	5.0	
2035.26	2066.17	5.0	
2055.99	2086.38	5.0	
2080.41	2109.92	5.0	
2087.83	2117.06	5.0	
2096.91	2125.72	5.0	
2131.4	2160.05	5.0	
2140.49	2169.35	5.0	
2150.0	2179.13	5.0	
2159.12	2188.78	5.0	
2172.18	2202.73	5.0	
2175.9	2206.65	5.0	
2186.42	2217.63	5.0	
2193.328	2224.844	5.0	
2197.994	2229.705	5.0	
2200.507	2232.367	5.0	
2202.29	2234.17	5.0	
2207.53	2239.51	5.0	
2223.93	2256.34	5.0	
2236.819	2269.62	5.0	
2241.555	2274.583	5.0	
2250.53	2283.78	5.0	
2252.045	2285.24	5.0	
2257.93	2291.12	5.0	
2265.98	2299.22	5.0	
2269.91	2303.13	5.0	
2281.58	2315.01	5.0	
2283.64	2317.11	5.0	
2286.78	2320.35	5.0	
2287.04	2320.62	5.0	
2291.05	2324.65	5.0	
2298.735	2332.678	5.0	
2304.88	2339.05	5.0	
2306.902	2341.167	5.0	
2309.126	2343.475	5.0	
2320.513	2355.18	5.0	
2328.03	2362.96	5.0	
2347.35	2382.3	5.0	
2351.03	2386.05	5.0	
2361.54	2396.69	5.0	
2366.64	2401.8	5.0	
2375.84	2411.08	5.0	
2386.63	2421.67	5.0	
2390.604	2425.618	5.0	
2415.02	2449.2	5.0	
2420.13	2454.18	5.0	
2420.448	2454.467	5.0	
2429.538	2462.903	5.0	
2431.0	2464.255	5.0	
2447.875	2480.283	5.0	
2449.785	2482.037	5.0	
2453.106	2485.052	5.0	
2458.0	2489.829	5.0	
2461.6	2493.25	5.0	
2493.81	2522.96	5.0	
2504.25	2532.45	5.0	
2549.772	2576.369	5.0	
2551.894	2578.57	5.0	
2564.67	2591.095	5.0	
2565.18	2591.64	5.0	
2566.58	2593.03	5.0	
2567.46	2593.868	5.0	
2576.28	2602.63	5.0	
2581.3	2607.9	5.0	
2594.65	2621.88	5.0	
2604.73	2632.4	5.0	
2608.54	2636.28	5.0	
2612.846	2640.711	5.0	
2616.73	2644.83	5.0	
2623.96	2651.9	5.0	
2630.662	2658.324	5.0	
2632.624	2660.27	5.0	
2634.719	2662.279	5.0	
2646.247	2673.537	5.0	
2650.814	2678.7	5.0	
2672.177	2698.934	5.0	
2684.72	2708.23	5.0	
2694.724	2717.206	5.0	
2713.05	2728.1	5.0	
2732.72	2738.6	5.0	
2753.96	2756.88	5.0	
127.0	155.0	5.0	
293.0	293.0	5.0	
0.4334470989761092	0.5290102389078498	5.0	
43.153	46.33	5.0	
50.887	54.507	5.0	
53.407	57.16	5.0	
54.51	58.228	5.0	
58.696	62.79	5.0	
60.217	64.348	5.0	
67.345	72.111	5.0	
71.679	76.574	5.0	
72.66	77.685	5.0	
74.297	79.486	5.0	
80.384	85.924	5.0	
88.99	94.943	5.0	
93.852	100.201	5.0	
95.911	102.63	5.0	
102.057	108.832	5.0	
110.961	118.582	5.0	
118.883	127.082	5.0	
131.185	140.11	5.0	
132.165	141.107	5.0	
133.506	142.558	5.0	
139.361	148.711	5.0	
143.147	152.702	5.0	
168.836	179.998	5.0	
181.382	193.245	5.0	
187.276	199.612	5.0	
193.26	206.042	5.0	
203.746	217.252	5.0	
205.949	219.577	5.0	
219.532	233.885	5.0	
236.622	251.785	5.0	
238.209	253.421	5.0	
242.398	258.023	5.0	
256.127	272.342	5.0	
258.548	274.945	5.0	
263.77	280.411	5.0	
269.401	286.346	5.0	
293.208	311.176	5.0	
295.56	313.877	5.0	
309.634	328.632	5.0	
320.826	340.496	5.0	
339.821	359.633	5.0	
342.632	362.613	5.0	
353.835	374.423	5.0	
356.668	377.538	5.0	
357.317	378.27	5.0	
360.789	381.832	5.0	
363.582	384.922	5.0	
386.867	409.021	5.0	
394.24	416.912	5.0	
413.241	436.747	5.0	
429.082	453.396	5.0	
455.319	480.92	5.0	
463.335	489.284	5.0	
474.25	500.776	5.0	
482.431	509.122	5.0	
488.019	514.603	5.0	
493.026	519.779	5.0	
495.148	521.91	5.0	
496.54	523.36	5.0	
513.319	541.556	5.0	
520.143	549.42	5.0	
